Path,Identity,Expression,Age
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Aaron_Pena_0001.jpg,Unknown,Not Smiling,45
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Abdoulaye_Wade_0002.jpg,Unknown,Smiling,96
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Adrian_McPherson_0002.jpg,Unknown,Not Smiling,38
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Ahmed_Ibrahim_Bilal_0001.jpg,Unknown,Not Smiling,35
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Alain_Ducasse_0001.jpg,Unknown,Smiling,65
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Alanna_Ubach_0001.jpg,Unknown,Smiling,45
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Alberto_Gonzales_0001.jpg,Unknown,Not Smiling,66
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Alexander_Lukashenko_0001.jpg,Unknown,Not Smiling,67
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Alimzhan_Tokhtakhounov_0001.jpg,Unknown,Not Smiling,72
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Allan_Wagner_0001.jpg,Unknown,Not Smiling,73
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Allen_Rock_0001.jpg,Unknown,Not Smiling,72
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Amelia_Vega_0001.jpg,Unknown,Smiling,36
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Andy_Hebb_0002.jpg,Unknown,Not Smiling,40
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Angelo_Genova_0001.jpg,Unknown,Smiling,50
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Anthony_Hopkins_0002.jpg,Unknown,Not Smiling,83
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Armando_Calderon_Sol_0001.jpg,Unknown,Not Smiling,73
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Arnold_Palmer_0001.jpg,Unknown,Not Smiling,80
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Barry_Bonds_0001.jpg,Unknown,Not Smiling,57
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Celeb Images filtered/Ben_Cahoon_0001.jpg,Unknown,Not Smiling,49
