Path,Identity,Expression,Age
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (1).png,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (2).png,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (3).png,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (4).png,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (5).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (6).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (7).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (8).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (9).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (10).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (11).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (12).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (13).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (14).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (15).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (16).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (17).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (18).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (19).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (20).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (21).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (22).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (23).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (24).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (25).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (26).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (27).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (28).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (29).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (30).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (31).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (32).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (33).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (34).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (35).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (36).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (37).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (38).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (39).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (40).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (41).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (42).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (43).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (44).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (45).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (46).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (47).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (48).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (49).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (50).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (51).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (52).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (53).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (54).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (55).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (56).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (57).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (58).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (59).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (60).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (61).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (62).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (63).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (64).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (65).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (66).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (67).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (68).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (69).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (70).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (71).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (72).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (73).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (74).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (75).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (76).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (77).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (78).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (79).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (80).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (81).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (82).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (83).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (84).png,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (85).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (86).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (87).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (88).jpeg,Hamza Ahmad,Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (89).jpeg,Hamza Ahmad,Not Smiling,23
/home/sawaiz/Documents/CSCS 460/Assignments/Assignment 1/Task 1 Dataset development/Dataset/Personal_Img_Dataset/Hamza (90).jpeg,Hamza Ahmad,Not Smiling,23
